Player,Tm,Salary,Cap Hit
Haydn Fleury,CAR,"832,500","863,333"
Ivan Provorov,PHI,"832,500","894,167"
Kasperi Kapanen,TOR,"832,500","863,333"
Thomas Chabot,OTT,"832,500","863,333"
Travis Konecny,PHI,"832,500","894,167"
Brendan Perlini,CHI,"832,500","863,333"
Kevin Fiala,MIN,"832,500","863,333"
Lawson Crouse,ARI,"832,500","894,167"
Pavel Zacha,NJD,"832,500","894,167"
Julius Honka,DAL,"832,500","863,333"
Dylan Strome,CHI,"832,500","863,333"
Timo Meier,SJS,"832,500","894,167"
Joel Eriksson Ek,MIN,"832,500","894,167"
Jake Debrusk,BOS,"832,500","863,333"
Nick Jensen,WSH,"825,000","812,500"
Carl Dahlstrom,CHI,"817,500","750,833"
Christian Fischer,ARI,"815,000","821,666"
Drew Stafford,NJD,"810,000","810,000"
Luke Schenn,VAN,"800,000","800,000"
Adam Erne,TBL,"800,000","800,000"
Travis Boyd,WSH,"800,000","800,000"
Alex Nedeljkovic,CAR,"800,000","811,667"
Linus Ullmark,BUF,"800,000","750,000"
Paul Ladue,LAK,"800,000","825,000"
Casey Nelson,BUF,"800,000","812,500"
Calvin Pickard,ARI,"800,000","800,000"
Joseph Woll,TOR,"800,000","800,000"
Luke Witkowski,DET,"800,000","750,000"
Ty Rattie,EDM,"800,000","800,000"
Martin Marincin,TOR,"800,000","800,000"
Dalton Prout,CGY,"800,000","800,000"
David Rittich,CGY,"800,000","800,000"
Cale Makar,COL,"792,500","880,833"
Alex DeBrincat,CHI,"792,500","778,333"
Alexandar Georgiev,NYR,"792,500","792,500"
Jake Guentzel,PIT,"792,500","734,167"
Andreas Johnsson,TOR,"787,500","787,500"
Mike Reilly,MTL,"775,000","725,000"
Roope Hintz,DAL,"767,500","811,667"
Anthony Stolarz,EDM,"761,250","761,250"
Daniel Sprong,ANA,"750,000","750,000"
Charlie Lindgren,MTL,"750,000","750,000"
Cody McLeod,NSH,"750,000","750,000"
Miikka Salomaki,NSH,"750,000","750,000"
Noel Acciari,BOS,"750,000","725,000"
Jon Gillies,CGY,"750,000","750,000"
Rasmus Andersson,CGY,"750,000","755,833"
Dominik Simon,PIT,"750,000","750,000"
Sami Niku,WPG,"742,500","775,000"
Samuel Girard,COL,"742,500","728,333"
Libor Hajek,NYR,"742,500","833,333"
Austin Wagner,LAK,"742,500","759,167"
Kevin Labanc,SJS,"742,500","717,500"
Mathieu Joseph,TBL,"742,500","728,333"
Glenn Gawdin,CGY,"742,500","775,833"
Tyler Parsons,CGY,"742,500","759,167"
Carter Hart,PHI,"742,500","730,833"
Victor Mete,MTL,"742,500","748,333"
Anthony Cirelli,TBL,"742,500","728,333"
Dillon Dube,CGY,"742,500","778,333"
Jesper Bratt,NJD,"732,500","749,167"
Andrew Mangiapane,CGY,"730,000","705,000"
Warren Foegele,CAR,"730,000","746,667"
Christian Jaros,OTT,"730,000","755,000"
William Carrier,VEG,"725,000","725,000"
Matthew Phillips,CGY,"725,000","733,333"
Karson Kuhlman,BOS,"725,000","750,000"
Clark Bishop,CAR,"720,000","695,000"
Jacob Middleton,SJS,"720,000","735,000"
Sean Walker,LAK,"720,000","745,000"
Denis Malgin,FLA,"715,000","690,000"
Greg McKegg,CAR,"715,000","715,000"
Justin Bailey,PHI,"715,000","715,000"
Danick Martel,TBL,"715,000","715,000"
Landon Bow,DAL,"710,000","697,500"
Ryan Lomberg,CGY,"710,000","710,000"
"Nieves, Cristoval",NYR,"708,750","708,750"
Alan Quine,CGY,"700,000","700,000"
Fredrik Claesson,NYR,"700,000","700,000"
Mario Kempe,ARI,"700,000","700,000"
Kenny Agostino,NJD,"700,000","700,000"
Buddy Robinson,CGY,"700,000","700,000"
Connor Clifton,BOS,"700,000","725,000"
Matt Hendricks,WPG,"700,000","700,000"
Garret Sparks,TOR,"700,000","675,000"
Samuel Morin,PHI,"700,000","700,000"
Kevin Rooney,NJD,"700,000","700,000"
Scott Harrington,CBJ,"700,000","675,000"
John Hayden,CHI,"700,000","750,000"
Oskar Sundqvist,STL,"700,000","700,000"
Marcus Sorensen,SJS,"700,000","700,000"
Kevin Gravel,EDM,"700,000","700,000"
Jujhar Khaira,EDM,"700,000","675,000"
Adam Clendening,CBJ,"700,000","700,000"
Dennis Seidenberg,NYI,"700,000","700,000"
Oliver Kylington,CGY,"700,000","730,833"
"Högström, Marcus",CGY,"700,000","700,000"
Markus Hannikainen,CBJ,"700,000","675,000"
Dean Kukan,CBJ,"700,000","725,000"
Tom Kuhnhackl,NYI,"700,000","700,000"
Josh Archibald,ARI,"700,000","675,000"
J.T. Brown,MIN,"675,000","687,500"
Nick Seeler,MIN,"675,000","725,000"
Joakim Ryan,SJS,"650,000","650,000"
Kurtis Gabriel,NJD,"650,000","650,000"
Alex Stalock,MIN,"650,000","650,000"
Rocco Grimaldi,NSH,"650,000","650,000"
Jonny Brodzinski,LAK,"650,000","650,000"
Steven Kampfer,BOS,"650,000","650,000"
Brendan Guhle,ANA,"650,000","697,500"
MacKenzie Blackwood,NJD,"650,000","697,500"
Tyler Ennis,TOR,"650,000","650,000"
Radim Simek,SJS,"650,000","675,000"
Erik Cernak,TBL,"650,000","697,500"
Frederick Gaudreau,NSH,"650,000","666,666"
Garrett Wilson,PIT,"650,000","650,000"
Pheonix Copley,WSH,"650,000","650,000"
Brendan Leipsic,LAK,"650,000","650,000"
Antoine Bibeau,SJS,"650,000","675,000"
"Brown, Joshua",FLA,"650,000","675,000"
Mackenzie MacEachern,STL,"650,000","650,000"
Malcolm Subban,VEG,"650,000","650,000"
Barclay Goodrow,SJS,"650,000","650,000"
Anthony Duclair,OTT,"650,000","650,000"
Rinat Valiev,CGY,"650,000","650,000"
Tristan Jarry,PIT,"650,000","675,000"
Frederik Gauthier,TOR,"650,000","675,000"
Connor Brickley,NYR,"650,000","650,000"
Anthony Bitetto,MIN,"650,000","650,000"
Teddy Blueger,PIT,"650,000","650,000"
Ben Harpur,OTT,"650,000","725,000"
Alex Chiasson,EDM,"650,000","650,000"
Pontus Aberg,MIN,"650,000","650,000"
Brayden Point,TBL,"650,000","686,667"
Oscar Fantenberg,CGY,"650,000","650,000"
Matt Irwin,NSH,"650,000","675,000"
Casey DeSmith,PIT,"650,000","675,000"
Brad Hunt,MIN,"650,000","650,000"
Matt Cullen,PIT,"650,000","650,000"
Jack Campbell,LAK,"650,000","675,000"
Jared Coreau,STL,"650,000","650,000"
Christian Djoos,WSH,"650,000","650,000"
Eric Comrie,WPG,"650,000","650,000"
"Blais, Samuel",STL,"650,000","673,333"
Zane McIntyre,BOS,"650,000","650,000"
Yannick Weber,NSH,"650,000","675,000"
Taylor Fedun,DAL,"650,000","650,000"
Ryan Carpenter,VEG,"650,000","650,000"
Colby Cave,EDM,"650,000","675,000"
Evan Rodrigues,BUF,"650,000","650,000"
Jordan Binnington,STL,"650,000","650,000"
Jonas Siegenthaler,WSH,"650,000","714,166"
Devon Toews,NYI,"650,000","700,000"
Laurent Brossoit,WPG,"650,000","650,000"
"Varone, Philip",PHI,"650,000","650,000"
Colton Sissons,NSH,"650,000","625,000"
Ashton Sautner,VAN,"650,000","675,000"
Jordan Oesterle,ARI,"650,000","650,000"
Justin Holl,TOR,"650,000","675,000"
Chandler Stephenson,WSH,"650,000","650,000"
Charles Hudon,MTL,"650,000","650,000"
Chad Ruhwedel,PIT,"650,000","650,000"
Brandon Pirri,VEG,"650,000","650,000"
Kurtis MacDermid,LAK,"650,000","675,000"
Patrick Brown,CAR,"650,000","650,000"
Tim Heed,SJS,"650,000","650,000"
Tyler Graovac,CGY,"650,000","650,000"
Zac Rinaldo,NSH,"650,000","650,000"
